族id,族显示名,分类,描述,表面类型,可叠放,占格列,占格行,装饰分,拿起音效,放下音效,桌面格启用,桌面格列数,桌面格宽,桌面格高,桌面格偏移X,桌面高度
table_lamp,经典落地灯,灯具,,地面,否,4,2,12,SoundEffect/2_Pickup_260813_1,SoundEffect/2_Putdown_260813,否,3,64,56,50,146
round_table,圆桌,桌椅,,地面,否,6,3,30,SoundEffect/2_Pickup_260813_1,SoundEffect/2_Putdown_260813,是,9,15,16,0,126
crescent_aquarium,月牙鱼缸,摆件,,桌面,否,3,1,30,SoundEffect/2_Pickup_260813_2,SoundEffect/2_Putdown_260813,否,3,64,56,50,146
cat_sofa,猫耳懒人沙发,桌椅,,地面,否,8,5,25,SoundEffect/2_Pickup_260813_1,SoundEffect/2_Putdown_260813,否,3,64,56,50,146
single_sofa,单人沙发,桌椅,,地面,否,8,5,32,SoundEffect/2_Pickup_260813_1,SoundEffect/2_Putdown_260813,否,3,64,56,50,146
armchair,扶手椅,桌椅,,地面,否,8,5,30,SoundEffect/2_Pickup_260813_1,SoundEffect/2_Putdown_260813,否,3,64,56,50,146
cactus_lamp,仙人掌灯,灯具,,桌面,否,2,1,15,SoundEffect/2_Pickup_260813_2,SoundEffect/2_Putdown_260813,否,3,64,56,50,146
hanging_plant,悬挂绿植,盆栽,,壁挂,否,6,9,18,SoundEffect/2_Pickup_260813_2,SoundEffect/2_Putdown_260813,否,3,64,56,50,146
landscape_poster,风景海报,壁挂,,壁挂,否,6,9,15,SoundEffect/2_Pickup_260813_2,SoundEffect/2_Putdown_260813,否,3,64,56,50,146
lava_lamp,熔岩灯,灯具,,桌面,否,2,1,15,SoundEffect/2_Pickup_260813_2,SoundEffect/2_Putdown_260813,否,3,64,56,50,146
monstera,龟背竹,盆栽,,地面,否,3,2,20,SoundEffect/2_Pickup_260813_2,SoundEffect/2_Putdown_260813,否,3,64,56,50,146
orb_decoration,球形摆件,摆件,,桌面,否,3,1,12,SoundEffect/2_Pickup_260813_2,SoundEffect/2_Putdown_260813,否,3,64,56,50,146
potted_plant,盆栽植物,盆栽,,地面,否,2,2,12,SoundEffect/2_Pickup_260813_2,SoundEffect/2_Putdown_260813,否,3,64,56,50,146
round_rug,圆形地毯,摆件,,地面,是,16,8,15,SoundEffect/2_Pickup_260813_2,SoundEffect/2_Putdown_260813,否,3,64,56,50,146
vintage_square_clock,复古方钟,壁挂,,壁挂,否,6,6,12,SoundEffect/2_Pickup_260813_2,SoundEffect/2_Putdown_260813,否,3,64,56,50,146
bed_side,单人床,桌椅,躺下去就不想起来的床。,地面,否,15,8,40,SoundEffect/2_Pickup_260813_1,SoundEffect/2_Putdown_260813,否,3,64,56,50,146
bed_front,床头床,桌椅,床头是它的门面。,地面,否,11,8,40,SoundEffect/2_Pickup_260813_1,SoundEffect/2_Putdown_260813,否,3,64,56,50,146
vanity,梳妆台,桌椅,,地面,否,11,4,35,SoundEffect/2_Pickup_260813_1,SoundEffect/2_Putdown_260813,否,3,64,56,50,146
retro_radio,复古收音机,摆件,,桌面,否,4,1,12,SoundEffect/2_Pickup_260813_2,SoundEffect/2_Putdown_260813,否,3,64,56,50,146
music_player,音乐播放器,摆件,,地面,否,10,4,20,SoundEffect/2_Pickup_260813_1,SoundEffect/2_Putdown_260813,否,3,64,56,50,146
piano,钢琴,桌椅,,地面,否,12,6,40,SoundEffect/2_Pickup_260813_1,SoundEffect/2_Putdown_260813,否,3,64,56,50,146
flashlight,手电筒,摆件,,桌面,否,3,1,8,SoundEffect/2_Pickup_260813_2,SoundEffect/2_Putdown_260813,否,3,64,56,50,146
iron,熨斗,摆件,,桌面,否,2,1,8,SoundEffect/2_Pickup_260813_2,SoundEffect/2_Putdown_260813,否,3,64,56,50,146
telescope,望远镜,摆件,,桌面,否,3,1,10,SoundEffect/2_Pickup_260813_2,SoundEffect/2_Putdown_260813,否,3,64,56,50,146
colorful_cabinet,彩色柜子,桌椅,,地面,否,13,4,28,SoundEffect/2_Pickup_260813_1,SoundEffect/2_Putdown_260813,否,3,64,56,50,146
floor_lamp,落地灯,灯具,,地面,否,4,2,18,SoundEffect/2_Pickup_260813_1,SoundEffect/2_Putdown_260813,否,3,64,56,50,146
chalkboard,黑板,摆件,,地面,否,12,3,15,SoundEffect/2_Pickup_260813_1,SoundEffect/2_Putdown_260813,否,3,64,56,50,146
macaron_sofa,马卡龙沙发,桌椅,,地面,否,15,5,30,SoundEffect/2_Pickup_260813_1,SoundEffect/2_Putdown_260813,否,3,64,56,50,146
metronome,节拍器,摆件,,桌面,否,3,1,10,SoundEffect/2_Pickup_260813_2,SoundEffect/2_Putdown_260813,否,3,64,56,50,146
cabinet,立柜,桌椅,兼具收纳与陈列功能的立式柜。,地面,否,10,4,28,SoundEffect/2_Pickup_260813_1,SoundEffect/2_Putdown_260813,否,3,64,56,50,146
